Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel
1042,01/01/2022,Eve,South,"£166,149.80",34,Furniture,"£4,831.35","£4,936.12",Returning,1%,Credit Card,Retail
1092,01/01/2022,Charlie,East,"£4,685.29",3,Clothing,£178.88,"£1,754.79",New,11%,Bank Transfer,Retail
1063,01/01/2022,Eve,West,"£11,096.20",6,Electronics,£380.57,"£2,340.97",New,21%,Cash,Retail
1027,01/01/2022,Bob,North,"£10,712.79",5,Food,£263.35,"£2,380.62",Returning,10%,Bank Transfer,Retail
1053,01/01/2022,Charlie,East,"£74,506.82",27,Electronics,"£1,172.99","£3,449.39",Returning,20%,Cash,Online
1085,02/01/2022,Alice,North,"£13,032.78",40,Furniture,£192.71,£378.86,Returning,14%,Bank Transfer,Online
1038,02/01/2022,Eve,North,"£25,738.45",7,Furniture,£438.38,"£3,751.96",Returning,2%,Bank Transfer,Retail
1025,02/01/2022,David,East,"£139,348.23",46,Food,£689.70,"£3,883.73",Returning,22%,Credit Card,Retail
1001,02/01/2022,Bob,North,"£167,477.29",38,Furniture,£252.49,"£4,639.26",Returning,5%,Bank Transfer,Retail
1076,03/01/2022,Charlie,North,"£9,721.10",5,Food,"£1,014.39","£2,209.34",Returning,12%,Cash,Online
1093,03/01/2022,Bob,North,"£129,259.32",29,Electronics,"£4,192.33","£4,608.81",New,3%,Cash,Online
1085,03/01/2022,Bob,East,"£78,482.59",32,Clothing,"£1,235.78","£3,359.70",New,27%,Credit Card,Retail
1007,03/01/2022,Alice,West,"£78,764.09",18,Electronics,£613.43,"£4,916.61",Returning,11%,Credit Card,Retail
1037,04/01/2022,Bob,North,"£72,898.77",25,Electronics,"£2,748.89","£3,471.37",Returning,16%,Cash,Online
1091,04/01/2022,Charlie,South,"£30,939.05",13,Food,"£1,357.52","£2,902.35",New,18%,Credit Card,Online
1013,04/01/2022,Alice,South,"£37,892.16",8,Furniture,"£3,017.10","£4,883.01",New,3%,Credit Card,Retail
1099,04/01/2022,Charlie,South,"£184,529.45",49,Clothing,"£2,827.29","£3,922.82",Returning,4%,Bank Transfer,Retail
1074,04/01/2022,David,North,"£82,391.82",24,Clothing,"£1,363.68","£4,345.56",New,21%,Bank Transfer,Retail
1062,04/01/2022,Eve,West,"£177,697.90",42,Furniture,"£2,796.61","£4,407.19",New,4%,Cash,Online
1075,05/01/2022,David,South,"£36,160.91",33,Food,£905.16,"£1,387.07",Returning,21%,Bank Transfer,Online
1094,05/01/2022,Bob,West,"£15,973.64",4,Electronics,"£2,375.90","£4,293.99",New,7%,Cash,Retail
1078,06/01/2022,David,North,"£25,621.23",8,Electronics,"£3,006.08","£4,159.29",New,23%,Bank Transfer,Retail
1079,06/01/2022,David,South,"£133,141.05",41,Electronics,"£3,171.51","£3,775.98",New,14%,Credit Card,Retail
1086,06/01/2022,Charlie,North,"£37,635.20",11,Clothing,£419.02,"£3,759.76",New,9%,Bank Transfer,Online
1053,06/01/2022,Charlie,South,"£83,277.53",22,Electronics,"£1,633.09","£5,257.42",New,28%,Cash,Online
1041,06/01/2022,Charlie,West,"£81,942.04",33,Clothing,£135.24,"£3,355.53",Returning,26%,Cash,Retail
1088,09/01/2022,Eve,South,"£17,045.11",10,Clothing,"£1,305.01","£2,029.18",New,16%,Cash,Retail
1089,09/01/2022,Charlie,East,"£91,465.25",18,Food,"£2,964.41","£5,132.73",New,1%,Cash,Online
1096,09/01/2022,Alice,North,"£124,485.98",49,Furniture,"£1,411.18","£3,299.39",Returning,23%,Bank Transfer,Retail
1075,09/01/2022,David,North,"£84,183.78",19,Furniture,£419.80,"£4,475.48",Returning,1%,Cash,Retail
1010,09/01/2022,Charlie,North,"£134,715.50",35,Furniture,"£1,047.03","£4,872.17",Returning,21%,Cash,Online
1098,10/01/2022,Alice,West,"£48,583.30",24,Food,"£2,021.59","£2,108.65",New,4%,Credit Card,Retail
1050,11/01/2022,Alice,West,"£1,064.43",1,Furniture,£927.71,"£1,083.65",Returning,2%,Bank Transfer,Retail
